"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"SARS-CoV-2 modulates autophagy",11,4,2,2,18,17.5,33.5,35,0.363636363636364
"SARS-CoV-2 modulates host translation machinery",51,11,5,24.5,48.5454545454545,36,44.5,206,0.215686274509804
"SARS-CoV-2 targets PDZ proteins in cell-cell junction",5,3,6,10,12.3333333333333,14,15.5,17,0.6
"SARS-CoV-2 targets host intracellular signalling and regulatory pathways",12,4,1,2.5,18.75,5,21.25,64,0.333333333333333
"SARS-CoV-2-host interactions",204,64,1,7,54.890625,19.5,53,383,0.313725490196078
"SCF(Skp2)-mediated degradation of p27/p21",50,12,4,18,79,49,66,386,0.24
"SCF-beta-TrCP mediated degradation of Emi1",42,12,4,14.75,49.25,32.5,59,218,0.285714285714286
"SDK interactions",2,2,9,37,65,65,93,121,1
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",14,8,8,9.75,108,37,183,317,0.571428571428571
"SHC-mediated cascade:FGFR1",21,4,9,9.75,20.5,18,28.75,37,0.19047619047619
"SHC-mediated cascade:FGFR2",23,5,3,9,17,10,26,37,0.217391304347826
"SHC-mediated cascade:FGFR3",18,5,9,10,25.8,26,37,47,0.277777777777778
"SHC-mediated cascade:FGFR4",20,3,9,17.5,24,26,31.5,37,0.15
"SHC-related events triggered by IGF1R",9,3,9,17.5,24,26,31.5,37,0.333333333333333
"SHC1 events in EGFR signaling",14,6,9,28.5,47,36.5,39.25,134,0.428571428571429
"SHC1 events in ERBB2 signaling",22,9,8,15,34.5555555555556,23,37,134,0.409090909090909
"SHC1 events in ERBB4 signaling",14,5,9,19,22.8,23,26,37,0.357142857142857
"SHOC2 M1731 mutant abolishes MRAS complex function",8,2,22,66.75,111.5,111.5,156.25,201,0.25
"SIRT1 negatively regulates rRNA expression",67,24,4,10,50.2083333333333,37,82,159,0.358208955223881
"SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs",11,6,10,17.5,25.8333333333333,20.5,34.75,48,0.545454545454545
"SLBP independent Processing of Histone Pre-mRNAs",10,5,17,19,29,22,39,48,0.5
"SLC transporter disorders",98,36,3,11,90.1111111111111,35.5,157,383,0.36734693877551
"SLC-mediated bile acid transport",7,3,11,11.5,18.6666666666667,12,22.5,33,0.428571428571429
"SLC-mediated transmembrane transport",243,68,1,9.5,68.8529411764706,28.5,76.75,381,0.279835390946502
"SLC-mediated transport of amino acids",37,9,8,17,106.555555555556,28,109,381,0.243243243243243
"SLC-mediated transport of inorganic anions",35,14,2,4,59.7142857142857,14.5,29.75,300,0.4
"SLC-mediated transport of neurotransmitters",21,5,2,5,56.4,17,37,221,0.238095238095238
"SLC-mediated transport of oligopeptides",4,0,NA,NA,NA,NA,NA,NA,0
"SLC-mediated transport of organic anions",38,13,2,5,64.3076923076923,11,33,307,0.342105263157895
"SLC-mediated transport of organic cations",15,7,3,26.5,86.4285714285714,50,107.5,284,0.466666666666667
"SLC15A4:TASL-dependent IRF5 activation",6,2,5,16.5,28,28,39.5,51,0.333333333333333
"SLIT2:ROBO1 increases RHOA activity",4,2,122,124.5,127,127,129.5,132,0.5
"SMAC (DIABLO) binds to IAPs ",7,3,10,15.5,32.3333333333333,21,43.5,66,0.428571428571429
"SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ",7,3,10,15.5,32.3333333333333,21,43.5,66,0.428571428571429
"SMAC, XIAP-regulated apoptotic response",8,4,10,18.25,58,43.5,83.25,135,0.5
"SMAD2/3 MH2 Domain Mutants in Cancer",3,1,1,1,1,1,1,1,0.333333333333333
"SMAD2/3 Phosphorylation Motif Mutants in Cancer",6,3,1,31,155.333333333333,61,232.5,404,0.5
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",36,13,1,10,65.9230769230769,22,66,276,0.361111111111111
"SMAD4 MH2 Domain Mutants in Cancer",3,1,1,1,1,1,1,1,0.333333333333333
"SOS-mediated signalling",7,3,5,7,13.3333333333333,9,17.5,26,0.428571428571429
"SPOP-mediated proteasomal degradation of PD-L1(CD274)",46,12,4,14.75,49.4166666666667,32.5,59,212,0.260869565217391
"SRP-dependent cotranslational protein targeting to membrane",113,30,2,15.5,66.6333333333333,31.5,60.25,597,0.265486725663717
"STAT3 nuclear events downstream of ALK signaling",11,2,14,63.5,113,113,162.5,212,0.181818181818182
"STAT5 Activation",7,5,10,17,42.8,56,57,74,0.714285714285714
"STAT5 activation downstream of FLT3 ITD mutants",10,4,10,44.5,49.25,56.5,61.25,74,0.4
"STAT6-mediated induction of chemokines",3,2,7,10.25,13.5,13.5,16.75,20,0.666666666666667
"STING mediated induction of host immune responses",16,6,1,10.25,46.3333333333333,25,31.5,188,0.375
"SUMO E3 ligases SUMOylate target proteins",183,68,1,11,70.7058823529412,28.5,108.25,383,0.371584699453552
"SUMO is conjugated to E1 (UBA2:SAE1)",5,1,72,72,72,72,72,72,0.2
"SUMO is proteolytically processed",6,3,9,15.5,18,22,22.5,23,0.5
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",7,1,72,72,72,72,72,72,0.142857142857143
"SUMOylation",189,72,1,11,68.5277777777778,26.5,88.25,383,0.380952380952381
"SUMOylation of DNA damage response and repair proteins",77,32,1,12,74.25,36.5,88.5,383,0.415584415584416
"SUMOylation of DNA methylation proteins",16,4,13,13.75,62.75,21.5,70.5,195,0.25
"SUMOylation of DNA replication proteins",46,21,1,11,84.5714285714286,38,132,383,0.456521739130435
"SUMOylation of RNA binding proteins",47,19,3,13.5,96.2105263157895,44,175.5,383,0.404255319148936
"SUMOylation of SUMOylation proteins",35,18,3,19.25,108.388888888889,53,195,383,0.514285714285714
"SUMOylation of chromatin organization proteins",71,25,3,14,89.52,53,112,383,0.352112676056338
"SUMOylation of immune response proteins",12,3,64,98,136.333333333333,132,172.5,213,0.25
"SUMOylation of intracellular receptors",30,12,9,17.25,53.0833333333333,26,44,240,0.4
"SUMOylation of nuclear envelope proteins",3,1,7,7,7,7,7,7,0.333333333333333
"SUMOylation of transcription cofactors",44,15,4,14,110.066666666667,132,180.5,261,0.340909090909091
"SUMOylation of transcription factors",20,8,7,13.25,86.625,48,138,277,0.4
"SUMOylation of ubiquitinylation proteins",39,20,3,13.75,92.35,48.5,138,383,0.512820512820513
"SWI/SNF chromatin remodelers",31,12,7,20.25,79.25,29.5,129.75,301,0.387096774193548
"Scavenging by Class A Receptors",19,6,3,5.5,24,13,34,71,0.315789473684211
"Scavenging by Class B Receptors",6,1,71,71,71,71,71,71,0.166666666666667
"Scavenging by Class F Receptors",6,4,3,32.25,45.5,54,67.25,71,0.666666666666667
"Scavenging by Class H Receptors",4,1,71,71,71,71,71,71,0.25
"Scavenging of heme from plasma",69,1,19,19,19,19,19,19,0.0144927536231884
"Sealing of the nuclear envelope (NE) by ESCRT-III",32,7,12,23,80.7142857142857,31,65.5,345,0.21875
"Selective autophagy",90,31,1,14,55.6451612903226,22,56,345,0.344444444444444
"Selenoamino acid metabolism",118,29,2,25,52.6551724137931,35,62,256,0.245762711864407
"Selenocysteine synthesis",94,24,2,23,53.875,34,56.75,256,0.25531914893617
"Sema3A PAK dependent Axon repulsion",16,8,8,9.75,38.625,19,46.25,143,0.5
"Sema4D in semaphorin signaling",24,11,1,9.5,55.3636363636364,13,101.5,164,0.458333333333333
"Sema4D induced cell migration and growth-cone collapse",20,9,1,11,65.5555555555556,33,142,164,0.45
"Sema4D mediated inhibition of cell attachment and migration",8,2,9,9.25,9.5,9.5,9.75,10,0.25
"Semaphorin interactions",64,28,1,10,62.9285714285714,30.5,59.5,317,0.4375
"Senescence-Associated Secretory Phenotype (SASP)",111,35,2,10.5,60.1428571428571,49,82,276,0.315315315315315
"Sensing of DNA Double Strand Breaks",6,2,14,15,16,16,17,18,0.333333333333333
"Sensory Perception",636,61,1,11,56.5409836065574,28,70,365,0.0959119496855346
"Sensory perception of salty taste",6,3,30,125.5,159,221,223.5,226,0.5
"Sensory perception of sour taste",2,0,NA,NA,NA,NA,NA,NA,0
"Sensory perception of sweet, bitter, and umami (glutamate) taste",41,8,1,4.5,37.375,10.5,19.5,221,0.195121951219512
"Sensory perception of taste",47,10,1,6,55.5,13.5,32.25,226,0.212765957446809
"Sensory processing of sound",77,23,2,18,58,34,69,270,0.298701298701299
"Sensory processing of sound by inner hair cells of the cochlea",69,22,2,22.25,60.5454545454545,34.5,73.5,270,0.318840579710145
"Sensory processing of sound by outer hair cells of the cochlea",55,19,2,12.5,51.6842105263158,34,57.5,270,0.345454545454545
"Separation of Sister Chromatids",178,54,1,10.75,54.6296296296296,29.5,55,383,0.303370786516854
"Serine metabolism",11,3,2,5,6.66666666666667,8,9,10,0.272727272727273
"Serotonin Neurotransmitter Release Cycle",18,3,4,41,60,78,88,98,0.166666666666667
"Serotonin and melatonin biosynthesis",5,1,5,5,5,5,5,5,0.2
"Serotonin clearance from the synaptic cleft",3,1,2,2,2,2,2,2,0.333333333333333
"Serotonin receptors",12,2,29,37.75,46.5,46.5,55.25,64,0.166666666666667
"Severe congenital neutropenia type 4 (G6PC3)",1,0,NA,NA,NA,NA,NA,NA,0
"Sialic acid metabolism",33,8,2,8,41.625,19.5,27.25,221,0.242424242424242
"Signal Transduction",2611,759,1,9,62.4044795783926,24,58.5,829,0.290693220988127
"Signal amplification",33,10,3,7.5,30.2,11.5,27.25,149,0.303030303030303
"Signal attenuation",10,6,2,6,127.666666666667,18,34.5,686,0.6
"Signal regulatory protein family interactions",16,4,2,8,22.25,15.5,29.75,56,0.25
"Signal transduction by L1",21,10,2,10.25,75.3,31.5,118.75,308,0.476190476190476
"Signaling by ALK",30,6,3,6.5,47,12.5,31.25,212,0.2
"Signaling by ALK fusions and activated point mutants",93,33,1,7,90.6363636363636,25,67,1073,0.354838709677419
"Signaling by ALK in cancer",93,33,1,7,90.6363636363636,25,67,1073,0.354838709677419
"Signaling by AMER1 mutants",14,7,2,10.5,67,39,72.5,262,0.5
"Signaling by APC mutants",14,7,2,10.5,67,39,72.5,262,0.5
"Signaling by AXIN mutants",14,7,2,10.5,67,39,72.5,262,0.5
"Signaling by Activin",17,3,1,1.5,46.6666666666667,2,69.5,137,0.176470588235294
"Signaling by BMP",31,9,1,18,36.7777777777778,30,61,74,0.290322580645161
"Signaling by BRAF and RAF1 fusions",65,24,1,9,65.8333333333333,19,61,536,0.369230769230769
"Signaling by CSF1 (M-CSF) in myeloid cells",31,14,3,15.25,47.8571428571429,25.5,51.25,306,0.451612903225806
"Signaling by CSF3 (G-CSF)",30,15,2,14.5,42.4666666666667,29,61,118,0.5
"Signaling by CTNNB1 phospho-site mutants",15,7,2,10.5,67,39,72.5,262,0.466666666666667
"Signaling by EGFR",53,19,5,18.5,70.8421052631579,36,60.5,416,0.358490566037736
"Signaling by EGFR in Cancer",25,12,9,22,38.6666666666667,30.5,37.75,134,0.48
"Signaling by EGFRvIII in Cancer",15,8,9,22.75,40.75,30.5,37.75,134,0.533333333333333
"Signaling by ERBB2",50,21,3,15,40.5238095238095,22,26,306,0.42
"Signaling by ERBB2 ECD mutants",16,7,9,22.5,41.5714285714286,26,38.5,134,0.4375
"Signaling by ERBB2 KD Mutants",25,10,9,19.75,34.8,23,34.25,134,0.4
"Signaling by ERBB2 TMD/JMD mutants",22,9,9,19,36.2222222222222,23,37,134,0.409090909090909
"Signaling by ERBB2 in Cancer",26,10,9,19.75,34.8,23,34.25,134,0.384615384615385
"Signaling by ERBB4",58,21,1,9,32.4285714285714,22,37,134,0.362068965517241
"Signaling by Erythropoietin",25,10,3,12.25,36.7,31.5,37.75,113,0.4
"Signaling by FGFR",89,27,1,15,68.7407407407407,23,60.5,492,0.303370786516854
"Signaling by FGFR in disease",63,21,1,13,45.0952380952381,22,55,309,0.333333333333333
"Signaling by FGFR1",52,15,2,13.5,48,22,46.5,262,0.288461538461538
"Signaling by FGFR1 amplification mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Signaling by FGFR1 in disease",38,11,3,11.5,29.8181818181818,22,49.5,74,0.289473684210526
"Signaling by FGFR2",73,25,1,15,67.16,22,56,492,0.342465753424658
"Signaling by FGFR2 IIIa TM",19,9,1,15,63.5555555555556,22,79,309,0.473684210526316
"Signaling by FGFR2 amplification mutants",1,1,3,3,3,3,3,3,1
"Signaling by FGFR2 fusions",1,1,3,3,3,3,3,3,1
"Signaling by FGFR2 in disease",43,13,1,10,49.1538461538462,22,26,309,0.302325581395349
"Signaling by FGFR3",40,15,2,13.5,42.4666666666667,22,42,262,0.375
"Signaling by FGFR3 fusions in cancer",1,1,47,47,47,47,47,47,1
"Signaling by FGFR3 in disease",22,5,9,10,22.8,22,26,47,0.227272727272727
"Signaling by FGFR4",41,13,2,15,44.6153846153846,22,37,262,0.317073170731707
"Signaling by FGFR4 in disease",11,3,9,15.5,19,22,24,26,0.272727272727273
"Signaling by FLT3 ITD and TKD mutants",16,6,9,14,38.6666666666667,41,56.75,74,0.375
"Signaling by FLT3 fusion proteins",19,6,9,26.75,39.8333333333333,36.5,53.75,74,0.315789473684211
"Signaling by GPCR",704,164,1,8,52.1585365853659,19.5,44.25,486,0.232954545454545
"Signaling by GSK3beta mutants",15,7,2,10.5,67,39,72.5,262,0.466666666666667
"Signaling by Hedgehog",137,44,3,10.75,44.1590909090909,22,49,345,0.321167883211679
"Signaling by Hippo",20,3,7,14,27.3333333333333,21,37.5,54,0.15
"Signaling by Insulin receptor",82,24,1,6.5,57.875,15.5,49.25,686,0.292682926829268
"Signaling by Interleukins",461,133,1,8,74.0676691729323,26,57,1073,0.288503253796095
"Signaling by KIT in disease",20,7,3,13,78.2857142857143,26,93.5,306,0.35
"Signaling by LRP5 mutants ",6,1,57,57,57,57,57,57,0.166666666666667
"Signaling by LTK",12,5,3,5,13,9,11,37,0.416666666666667
"Signaling by LTK in cancer",7,3,2,2,2.33333333333333,2,2.5,3,0.428571428571429
"Signaling by Leptin",11,6,5,30.5,64.6666666666667,65,103.25,118,0.545454545454545
"Signaling by Ligand-Responsive EGFR Variants in Cancer",19,11,9,22,38.9090909090909,26,38.5,134,0.578947368421053
"Signaling by MAP2K mutants",4,2,2,9.25,16.5,16.5,23.75,31,0.5
"Signaling by MAPK mutants",7,2,2,4.5,7,7,9.5,12,0.285714285714286
"Signaling by MET",79,33,1,12,79.7272727272727,35,65,416,0.417721518987342
"Signaling by MRAS-complex mutants",8,2,22,66.75,111.5,111.5,156.25,201,0.25
"Signaling by MST1",5,0,NA,NA,NA,NA,NA,NA,0
"Signaling by NODAL",23,4,1,1.75,4.75,2.5,5.5,13,0.173913043478261
"Signaling by NOTCH",241,71,1,11.5,76.7605633802817,30,80.5,829,0.294605809128631
"Signaling by NOTCH1",74,25,1,12,47.72,20,38,396,0.337837837837838
"Signaling by NOTCH1 HD Domain Mutants in Cancer",15,4,15,20.25,43.75,43.5,67,73,0.266666666666667
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",58,22,1,12.5,52.0454545454545,19.5,58.25,396,0.379310344827586
"Signaling by NOTCH1 PEST Domain Mutants in Cancer",58,22,1,12.5,52.0454545454545,19.5,58.25,396,0.379310344827586
"Signaling by NOTCH1 in Cancer",58,22,1,12.5,52.0454545454545,19.5,58.25,396,0.379310344827586
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",7,0,NA,NA,NA,NA,NA,NA,0
"Signaling by NOTCH2",36,11,1,14.5,59.7272727272727,17,47.5,396,0.305555555555556
"Signaling by NOTCH3",49,18,3,15,65.9444444444444,27.5,71,396,0.36734693877551
"Signaling by NOTCH4",72,20,4,15,59.65,27.5,59,396,0.277777777777778
"Signaling by NTRK1 (TRKA)",115,36,2,8.75,80.4166666666667,29.5,94.5,420,0.31304347826087
"Signaling by NTRK2 (TRKB)",25,9,9,17,25.5555555555556,22,36,56,0.36
"Signaling by NTRK3 (TRKC)",17,6,5,12.25,52.3333333333333,24,34.25,215,0.352941176470588
"Signaling by NTRKs",134,44,2,12.75,74.7727272727273,27.5,78,420,0.328358208955224
"Signaling by Non-Receptor Tyrosine Kinases",54,17,7,15,62.2941176470588,26,65,394,0.314814814814815
"Signaling by Nuclear Receptors",294,95,1,9,62.7473684210526,28,82,563,0.32312925170068
"Signaling by Overexpressed Wild-Type EGFR in Cancer",8,3,36,38,70,40,87,134,0.375
"Signaling by PDGF",58,17,3,9,58.1764705882353,26,56,394,0.293103448275862
"Signaling by PDGFR in disease",20,10,3,6,48.9,20,63.25,197,0.5
"Signaling by PDGFRA extracellular domain mutants",12,5,3,3,22.2,9,26,70,0.416666666666667
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",12,5,3,3,22.2,9,26,70,0.416666666666667
"Signaling by PTK6",54,17,7,15,62.2941176470588,26,65,394,0.314814814814815
"Signaling by RAF1 mutants",41,15,1,2.5,48.1333333333333,20,48,303,0.365853658536585
"Signaling by RAS GAP mutants",3,1,26,26,26,26,26,26,0.333333333333333
"Signaling by RAS GTPase mutants",3,1,26,26,26,26,26,26,0.333333333333333
"Signaling by RAS mutants",45,15,1,2.5,48.1333333333333,20,48,303,0.333333333333333
"Signaling by RNF43 mutants",8,1,63,63,63,63,63,63,0.125
"Signaling by ROBO receptors",205,64,1,17,44.34375,28.5,51.25,256,0.31219512195122
"Signaling by Receptor Tyrosine Kinases",532,163,1,9,71.0552147239264,25,70,722,0.306390977443609
"Signaling by Retinoic Acid",41,8,1,11.75,50.875,25.5,67,154,0.195121951219512
"Signaling by Rho GTPases",704,235,1,10,57.6085106382979,25,61,486,0.333806818181818
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",720,242,1,10,56.801652892562,24.5,60.5,486,0.336111111111111
"Signaling by SCF-KIT",43,17,3,8,46.3529411764706,24,56,306,0.395348837209302
"Signaling by TCF7L2 mutants",3,1,135,135,135,135,135,135,0.333333333333333
"Signaling by TGF-beta Receptor Complex",94,33,1,5,53.1818181818182,15,35,404,0.351063829787234
"Signaling by TGF-beta Receptor Complex in Cancer",8,4,1,1,116.75,31,146.75,404,0.5
"Signaling by TGFB family members",161,53,1,7,67.0754716981132,24,66,404,0.329192546583851
"Signaling by TGFBR3",49,19,1,14.5,106.526315789474,33,123,404,0.387755102040816
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",54,14,3,7.5,22.0714285714286,13.5,34.25,57,0.259259259259259
"Signaling by VEGF",106,36,1,7,81.25,25.5,74.25,722,0.339622641509434
"Signaling by WNT",317,102,1,10,60.6176470588235,22,74.5,677,0.321766561514196
"Signaling by WNT in cancer",34,10,2,22.5,72.4,50,92.25,262,0.294117647058824
"Signaling by activated point mutants of FGFR1",11,1,10,10,10,10,10,10,0.0909090909090909
"Signaling by activated point mutants of FGFR3",12,2,10,19.25,28.5,28.5,37.75,47,0.166666666666667
"Signaling by cytosolic FGFR1 fusion mutants",18,6,3,22.25,41.3333333333333,49.5,56.5,74,0.333333333333333
"Signaling by cytosolic PDGFRA and PDGFRB fusion proteins",3,2,14,40.25,66.5,66.5,92.75,119,0.666666666666667
"Signaling by extracellular domain mutants of KIT",1,0,NA,NA,NA,NA,NA,NA,0
"Signaling by high-kinase activity BRAF mutants",36,12,2,12.75,50.5,23,46,303,0.333333333333333
"Signaling by juxtamembrane domain KIT mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Signaling by kinase domain mutants of KIT",1,0,NA,NA,NA,NA,NA,NA,0
"Signaling by membrane-tethered fusions of PDGFRA or PDGFRB",5,3,5,24,81.6666666666667,43,120,197,0.6
"Signaling by moderate kinase activity BRAF mutants",45,15,1,2.5,48.1333333333333,20,48,303,0.333333333333333
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",20,7,3,13,78.2857142857143,26,93.5,306,0.35
"Signaling by plasma membrane FGFR1 fusions",3,1,13,13,13,13,13,13,0.333333333333333
"Signaling by the B Cell Receptor (BCR)",153,26,2,9.25,27.5769230769231,20.5,47.5,69,0.169934640522876
"Signaling downstream of RAS mutants",45,15,1,2.5,48.1333333333333,20,48,303,0.333333333333333
"Signalling to ERK5",2,0,NA,NA,NA,NA,NA,NA,0
"Signalling to ERKs",34,11,2,26.5,68.3636363636364,37,49,394,0.323529411764706
"Signalling to RAS",20,5,9,26,43.2,37,54,90,0.25
"Signalling to STAT3",3,0,NA,NA,NA,NA,NA,NA,0
"Signalling to p38 via RIT and RIN",5,1,27,27,27,27,27,27,0.2
"Small interfering RNA (siRNA) biogenesis",9,3,67,82.5,178.666666666667,98,234.5,371,0.333333333333333
"Smooth Muscle Contraction",43,10,6,34.75,91.7,41,136,303,0.232558139534884
"Sodium-coupled phosphate cotransporters",6,1,30,30,30,30,30,30,0.166666666666667
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",2,1,3,3,3,3,3,3,0.5
"Sodium/Calcium exchangers",11,3,1,27.5,40.6666666666667,54,60.5,67,0.272727272727273
"Sodium/Proton exchangers",9,3,5,20.5,59.6666666666667,36,87,138,0.333333333333333
"Somitogenesis",45,7,4,16.5,84,43,56,396,0.155555555555556
"Sorafenib-resistant KIT mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Sorafenib-resistant PDGFR mutants",1,1,70,70,70,70,70,70,1
"Specification of primordial germ cells",12,1,64,64,64,64,64,64,0.0833333333333333
"Specification of the neural plate border",17,2,7,74.5,142,142,209.5,277,0.117647058823529
"Sperm Motility And Taxes",9,2,1,4.5,8,8,11.5,15,0.222222222222222
"Sphingolipid catabolism",12,6,8,20.75,84.5,73,113.25,223,0.5
"Sphingolipid de novo biosynthesis",37,15,3,15,59.2,32,56,307,0.405405405405405
"Sphingolipid metabolism",107,33,1,14,67.3333333333333,36,87,307,0.308411214953271
"Spry regulation of FGF signaling",16,9,2,15,54,22,56,262,0.5625
"Stabilization of p53",44,15,4,11,33.2,15,49,156,0.340909090909091
"Sterols are 12-hydroxylated by CYP8B1",1,0,NA,NA,NA,NA,NA,NA,0
"Stimulation of the cell death response by PAK-2p34",2,2,21,26.25,31.5,31.5,36.75,42,1
"Stimuli-sensing channels",106,30,1,7.5,55.6666666666667,21.5,61.25,282,0.283018867924528
"Strand-asynchronous mitochondrial DNA replication",10,2,40,136.25,232.5,232.5,328.75,425,0.2
"Striated Muscle Contraction",36,9,1,5,40.3333333333333,13,40,184,0.25
"Sulfide oxidation to sulfate",6,0,NA,NA,NA,NA,NA,NA,0
"Sulfur amino acid metabolism",28,7,1,13,191,18,180,932,0.25
"Sunitinib-resistant KIT mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Sunitinib-resistant PDGFR mutants",1,1,70,70,70,70,70,70,1
"Suppression of apoptosis",7,3,2,6,90.3333333333333,10,134.5,259,0.428571428571429
"Suppression of autophagy",2,1,2,2,2,2,2,2,0.5
"Suppression of phagosomal maturation",13,5,15,22,39.6,35,61,65,0.384615384615385
"Surfactant metabolism",30,7,2,19,30.8571428571429,21,36,83,0.233333333333333
"Switching of origins to a post-replicative state",79,19,1,14.5,63.2105263157895,43,61,386,0.240506329113924
"Synaptic adhesion-like molecules",21,7,12,25,81.4285714285714,36,128.5,215,0.333333333333333
"Syndecan interactions",27,5,2,7,49.8,9,55,176,0.185185185185185
"Synthesis And Processing Of GAG, GAGPOL Polyproteins",14,9,4,15,48.5555555555556,21,43,243,0.642857142857143
"Synthesis and processing of ENV and VPU",1,0,NA,NA,NA,NA,NA,NA,0
"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)",9,1,68,68,68,68,68,68,0.111111111111111
"Synthesis of 12-eicosatetraenoic acid derivatives",7,4,21,22.5,46.5,42.5,66.5,80,0.571428571428571
"Synthesis of 15-eicosatetraenoic acid derivatives",6,3,21,22,41.3333333333333,23,51.5,80,0.5
"Synthesis of 5-eicosatetraenoic acids",9,3,21,22,41.3333333333333,23,51.5,80,0.333333333333333
"Synthesis of CL",1,0,NA,NA,NA,NA,NA,NA,0
"Synthesis of DNA",108,28,1,10.25,51.9642857142857,32.5,55.5,386,0.259259259259259
"Synthesis of GDP-mannose",6,2,49,71.75,94.5,94.5,117.25,140,0.333333333333333
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)",1,0,NA,NA,NA,NA,NA,NA,0
"Synthesis of IP2, IP, and Ins in the cytosol",14,4,1,6.25,47.75,24,65.5,142,0.285714285714286
"Synthesis of IP3 and IP4 in the cytosol",26,5,16,30,66.4,70,88,128,0.192307692307692
"Synthesis of IPs in the ER lumen",1,0,NA,NA,NA,NA,NA,NA,0
"Synthesis of IPs in the nucleus",4,1,1,1,1,1,1,1,0.25
"Synthesis of Ketone Bodies",8,1,221,221,221,221,221,221,0.125
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",20,5,2,7,21.2,28,28,41,0.25
"Synthesis of PA",39,12,1,6,54.6666666666667,24.5,29.25,456,0.307692307692308
"Synthesis of PC",28,12,2,11.75,98,34.5,100,456,0.428571428571429
"Synthesis of PE",13,3,7,14,106.333333333333,21,156,291,0.230769230769231
"Synthesis of PG",8,2,9,11,13,13,15,17,0.25
"Synthesis of PI",5,2,17,44.75,72.5,72.5,100.25,128,0.4
"Synthesis of PIPs at the ER membrane",5,5,7,26,59.2,34,39,190,1
"Synthesis of PIPs at the Golgi membrane",18,5,4,7,55,35,39,190,0.277777777777778
"Synthesis of PIPs at the early endosome membrane",16,7,1,21,123.285714285714,40,134.5,511,0.4375
"Synthesis of PIPs at the late endosome membrane",11,3,1,1,12,1,17.5,34,0.272727272727273
"Synthesis of PIPs at the plasma membrane",53,16,1,2.75,44.875,11.5,37.25,317,0.30188679245283
"Synthesis of PIPs in the nucleus",4,1,1,1,1,1,1,1,0.25
"Synthesis of PS",2,1,131,131,131,131,131,131,0.5
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",15,4,1,7.75,108,10,110.25,411,0.266666666666667
"Synthesis of UDP-N-acetyl-glucosamine",8,1,6,6,6,6,6,6,0.125
"Synthesis of active ubiquitin: roles of E1 and E2 enzymes",30,16,6,15,131.75,31.5,83.75,578,0.533333333333333
"Synthesis of bile acids and bile salts",33,7,6,8,24,14,32.5,67,0.212121212121212
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",13,1,67,67,67,67,67,67,0.0769230769230769
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",14,1,9,9,9,9,9,9,0.0714285714285714
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",23,4,6,8.25,27.75,19,38.5,67,0.173913043478261
"Synthesis of diphthamide-EEF2",8,3,4,20,89,36,131.5,227,0.375
"Synthesis of dolichyl-phosphate",7,3,6,6.5,7.33333333333333,7,8,9,0.428571428571429
"Synthesis of dolichyl-phosphate mannose",3,0,NA,NA,NA,NA,NA,NA,0
"Synthesis of dolichyl-phosphate-glucose",2,0,NA,NA,NA,NA,NA,NA,0
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)",8,1,68,68,68,68,68,68,0.125
"Synthesis of glycosylphosphatidylinositol (GPI)",18,7,3,16.5,61,30,106.5,148,0.388888888888889
"Synthesis of pyrophosphates in the cytosol",10,2,46,50,54,54,58,62,0.2
"Synthesis of substrates in N-glycan biosythesis",65,16,2,6.75,36.8125,13.5,28,221,0.246153846153846
"Synthesis of very long-chain fatty acyl-CoAs",24,8,8,15.25,41.75,36,64,95,0.333333333333333
"Synthesis of wybutosine at G37 of tRNA(Phe)",6,2,8,13.75,19.5,19.5,25.25,31,0.333333333333333
"Synthesis, secretion, and deacylation of Ghrelin",19,3,17,22,24,27,27.5,28,0.157894736842105
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",21,5,12,17,22.8,28,28,29,0.238095238095238
