"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"CDC6 association with the ORC:origin complex",8,2,8,18,28,28,38,48,0.25
"CDH11 homotypic and heterotypic interactions",7,0,NA,NA,NA,NA,NA,NA,0
"CDK-mediated phosphorylation and removal of Cdc6",60,14,4,14.25,42,20.5,53.5,218,0.233333333333333
"CHL1 interactions",9,5,1,2,39.6,12,40,143,0.555555555555556
"CLEC7A (Dectin-1) induces NFAT activation",11,4,3,21.75,31.5,28,37.75,67,0.363636363636364
"CLEC7A (Dectin-1) signaling",87,29,2,7,43.551724137931,19,57,305,0.333333333333333
"CLEC7A/inflammasome pathway",6,3,5,34.5,82.3333333333333,64,121,178,0.5
"COPI-dependent Golgi-to-ER retrograde traffic",100,26,1,9.25,55.5384615384615,20,40.75,414,0.26
"COPI-independent Golgi-to-ER retrograde traffic",53,15,2,14,63.6666666666667,34,87.5,345,0.283018867924528
"COPI-mediated anterograde transport",102,33,1,7,69.3030303030303,28,86,414,0.323529411764706
"COPII-mediated vesicle transport",69,20,1,5,56.5,14,37.75,414,0.289855072463768
"COX reactions",1,0,NA,NA,NA,NA,NA,NA,0
"CREB phosphorylation",7,2,32,109,186,186,263,340,0.285714285714286
"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",28,11,1,4,20.5454545454545,26,34.5,45,0.392857142857143
"CREB1 phosphorylation through the activation of Adenylate Cyclase",12,3,6,12,20.6666666666667,18,28,38,0.25
"CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde",8,2,2,5.5,9,9,12.5,16,0.25
"CREB3 factors activate genes",9,3,8,12,26.3333333333333,16,35.5,55,0.333333333333333
"CRMPs in Sema3A signaling",16,6,5,8.5,35.5,13.5,26.75,143,0.375
"CS-GAG biosynthesis",21,7,1,6,15.4285714285714,11,20.5,43,0.333333333333333
"CS/DS degradation",20,7,1,4,9.85714285714286,4,13,30,0.35
"CTNNB1 S33 mutants aren't phosphorylated",15,7,2,10.5,67,39,72.5,262,0.466666666666667
"CTNNB1 S37 mutants aren't phosphorylated",15,7,2,10.5,67,39,72.5,262,0.466666666666667
"CTNNB1 S45 mutants aren't phosphorylated",15,7,2,10.5,67,39,72.5,262,0.466666666666667
"CTNNB1 T41 mutants aren't phosphorylated",15,7,2,10.5,67,39,72.5,262,0.466666666666667
"CYP2E1 reactions",11,3,8,12,14,16,17,18,0.272727272727273
"Ca-dependent events",37,9,1,5,12.3333333333333,7,18,38,0.243243243243243
"Ca2+ activated K+ channels",9,2,2,13.75,25.5,25.5,37.25,49,0.222222222222222
"Ca2+ pathway",62,17,2,11,63.4117647058824,28,67,371,0.274193548387097
"CaM pathway",35,8,1,4.25,13,11,18,38,0.228571428571429
"CaMK IV-mediated phosphorylation of CREB",10,3,1,1.5,6.33333333333333,2,9,16,0.3
