"pathway","geneSize"
"Regulation of MITF-M-dependent genes involved in pigmentation",42
"Regulation of mitotic cell cycle",75
"Regulation of mRNA stability by proteins that bind AU-rich elements",74
"Regulation of necroptotic cell death",32
"Regulation of NF-kappa B signaling",18
"Regulation of NFE2L2 gene expression",8
"Regulation of NPAS4 gene expression",13
"Regulation of NPAS4 gene transcription",5
"Regulation of NPAS4 mRNA translation",9
"Regulation of ornithine decarboxylase (ODC)",38
"Regulation of PAK-2p34 activity by PS-GAP/RHG10",2
"Regulation of PD-L1(CD274) expression",199
"Regulation of PD-L1(CD274) Post-translational modification",86
"Regulation of PD-L1(CD274) transcription",101
"Regulation of PD-L1(CD274) translation",14
"Regulation of PLK1 Activity at G2/M Transition",87
"Regulation of PTEN gene transcription",61
"Regulation of PTEN localization",9
"Regulation of PTEN mRNA translation",9
"Regulation of PTEN stability and activity",56
"Regulation of pyruvate dehydrogenase (PDH) complex",15
"Regulation of pyruvate metabolism",33
"Regulation of RAS by GAPs",55
"Regulation of RUNX1 Expression and Activity",17
"Regulation of RUNX2 expression and activity",59
"Regulation of RUNX3 expression and activity",45
"Regulation of signaling by CBL",22
"Regulation of signaling by NODAL",12
"Regulation of T cell activation by CD28 family",275
"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 ",14
"Regulation of TBK1, IKKε-mediated activation of IRF3, IRF7 upon TLR3 ligation",11
"Regulation of the apoptosome activity",11
"Regulation of thyroid hormone activity",3
"Regulation of TLR by endogenous ligand",22
"Regulation of TNFR1 signaling",48
"Regulation of TP53 Activity",160
"Regulation of TP53 Activity through Acetylation",30
"Regulation of TP53 Activity through Association with Co-factors",14
"Regulation of TP53 Activity through Methylation",19
"Regulation of TP53 Activity through Phosphorylation",92
"Regulation of TP53 Degradation",36
"Regulation of TP53 Expression",2
"Regulation of TP53 Expression and Degradation",37
"Relaxin receptors",8
"Release of apoptotic factors from the mitochondria",7
"Release of Hh-Np from the secreting cell",8
"Removal of aminoterminal propeptides from gamma-carboxylated proteins",10
"Removal of the Flap Intermediate",14
"Removal of the Flap Intermediate from the C-strand",17
"Replacement of protamines by nucleosomes in the male pronucleus",42
"Replication of the SARS-CoV-1 genome",4
"Replication of the SARS-CoV-2 genome",4
"Repression of WNT target genes",14
"Reproduction",158
"Resistance of ERBB2 KD mutants to AEE788",4
"Resistance of ERBB2 KD mutants to afatinib",4
"Resistance of ERBB2 KD mutants to lapatinib",4
"Resistance of ERBB2 KD mutants to neratinib",4
"Resistance of ERBB2 KD mutants to osimertinib",4
"Resistance of ERBB2 KD mutants to sapitinib",4
"Resistance of ERBB2 KD mutants to tesevatinib",4
"Resistance of ERBB2 KD mutants to trastuzumab",4
"Resolution of Abasic Sites (AP sites)",38
"Resolution of AP sites via the multiple-nucleotide patch replacement pathway",25
"Resolution of AP sites via the single-nucleotide replacement pathway",4
"Resolution of D-Loop Structures",37
"Resolution of D-loop Structures through Holliday Junction Intermediates",36
"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",27
"Resolution of Sister Chromatid Cohesion",127
"Respiratory electron transport",159
"Respiratory syncytial virus (RSV) attachment and entry",23
"Respiratory syncytial virus (RSV) genome replication, transcription and translation",17
"Respiratory syncytial virus genome replication",2
"Respiratory syncytial virus genome transcription",1
"Respiratory Syncytial Virus Infection Pathway",121
"Response of EIF2AK1 (HRI) to heme deficiency",15
"Response of EIF2AK4 (GCN2) to amino acid deficiency",102
"Response of endothelial cells to shear stress",93
"Response of Mtb to phagocytosis",23
"Response to elevated platelet cytosolic Ca2+",132
"Response to metal ions",14
"RET signaling",40
"Retinoid cycle disease events",13
"Retinoid metabolism and transport",44
"Retinoid metabolism disease events",1
"Retrograde neurotrophin signalling",14
"Retrograde transport at the Trans-Golgi-Network",49
"Reuptake of GABA",4
"Rev-mediated nuclear export of HIV RNA",35
"Reversal of alkylation damage by DNA dioxygenases",7
"Reverse Transcription of HIV RNA",1
"Reversible hydration of carbon dioxide",12
"Rhesus blood group biosynthesis",2
"Rhesus glycoproteins mediate ammonium transport",3
"RHO GTPase cycle",450
"RHO GTPase Effectors",323
"RHO GTPases activate CIT",19
"RHO GTPases Activate Formins",140
"RHO GTPases activate IQGAPs",32
"RHO GTPases activate KTN1",11
"RHO GTPases Activate NADPH Oxidases",24
"RHO GTPases activate PAKs",21
"RHO GTPases activate PKNs",93
"RHO GTPases Activate Rhotekin and Rhophilins",9
"RHO GTPases Activate ROCKs",19
"RHO GTPases Activate WASPs and WAVEs",36
"RHO GTPases regulate CFTR trafficking",3
"RHOA GTPase cycle",149
"RHOB GTPase cycle",70
"RHOBTB GTPase Cycle",35
"RHOBTB1 GTPase cycle",23
"RHOBTB2 GTPase cycle",23
"RHOBTB3 ATPase cycle",10
"RHOC GTPase cycle",74
"RHOD GTPase cycle",53
"RHOF GTPase cycle",42
"RHOG GTPase cycle",74
"RHOH GTPase cycle",37
"RHOJ GTPase cycle",55
"RHOQ GTPase cycle",59
"RHOT1 GTPase cycle",5
"RHOT2 GTPase cycle",7
"RHOU GTPase cycle",40
"RHOV GTPase cycle",37
"Ribavirin ADME",11
"Ribosomal scanning and start codon recognition",59
"Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide",103
"Ribosome-associated quality control",145
"RIP-mediated NFkB activation via ZBP1",17
"RIPK1-mediated regulated necrosis",32
"RMTs methylate histone arginines",78
"RNA Pol II CTD phosphorylation and interaction with CE",27
"RNA Pol II CTD phosphorylation and interaction with CE during HIV infection",27
"RNA Polymerase I Promoter Clearance",109
"RNA Polymerase I Promoter Escape",90
"RNA Polymerase I Promoter Opening",62
"RNA Polymerase I Transcription",110
"RNA Polymerase I Transcription Initiation",47
"RNA Polymerase I Transcription Termination",31
"RNA Polymerase II HIV Promoter Escape",47
"RNA Polymerase II Pre-transcription Events",81
"RNA Polymerase II Promoter Escape",47
"RNA polymerase II transcribes snRNA genes",81
"RNA Polymerase II Transcription",1374
"RNA Polymerase II Transcription Elongation",58
"RNA Polymerase II Transcription Initiation",47
"RNA Polymerase II Transcription Initiation And Promoter Clearance",47
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening",47
"RNA Polymerase II Transcription Termination",67
"RNA Polymerase III Abortive And Retractive Initiation",41
"RNA Polymerase III Chain Elongation",18
"RNA Polymerase III Transcription",41
"RNA Polymerase III Transcription Initiation",36
"RNA Polymerase III Transcription Initiation From Type 1 Promoter",28
"RNA Polymerase III Transcription Initiation From Type 2 Promoter",27
"RNA Polymerase III Transcription Initiation From Type 3 Promoter",28
"RNA Polymerase III Transcription Termination",23
"RND1 GTPase cycle",42
"RND2 GTPase cycle",43
"RND3 GTPase cycle",42
"ROBO receptors bind AKAP5",9
"Role of ABL in ROBO-SLIT signaling",8
"Role of LAT2/NTAL/LAB on calcium mobilization",71
"Role of phospholipids in phagocytosis",82
"Role of second messengers in netrin-1 signaling",10
"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",26
"ROS and RNS production in phagocytes",36
"RPIA deficiency: failed conversion of R5P to RU5P",1
"RPIA deficiency: failed conversion of RU5P to R5P",1
"rRNA modification in the mitochondrion",15
"rRNA modification in the nucleus and cytosol",60
"rRNA processing",212
"rRNA processing in the mitochondrion",19
"rRNA processing in the nucleus and cytosol",193
"RSK activation",7
"RSV-host interactions",98
"RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)",10
"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known",37
"RUNX1 regulates estrogen receptor mediated transcription",6
"RUNX1 regulates expression of components of tight junctions",5
"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",96
"RUNX1 regulates transcription of genes involved in BCR signaling",6
"RUNX1 regulates transcription of genes involved in differentiation of HSCs",116
"RUNX1 regulates transcription of genes involved in differentiation of keratinocytes",8
"RUNX1 regulates transcription of genes involved in differentiation of myeloid cells",7
"RUNX1 regulates transcription of genes involved in interleukin signaling",5
"RUNX1 regulates transcription of genes involved in WNT signaling",6
"RUNX2 regulates bone development",31
"RUNX2 regulates chondrocyte maturation",5
"RUNX2 regulates genes involved in cell migration",8
"RUNX2 regulates genes involved in differentiation of myeloid cells",4
"RUNX2 regulates osteoblast differentiation",24
"RUNX3 regulates BCL2L11 (BIM) transcription",5
"RUNX3 regulates CDKN1A transcription",7
"RUNX3 Regulates Immune Response and Cell Migration",6
"RUNX3 regulates NOTCH signaling",14
"RUNX3 regulates p14-ARF",10
"RUNX3 regulates RUNX1-mediated transcription",3
"RUNX3 regulates WNT signaling",8
"RUNX3 regulates YAP1-mediated transcription",8
"S Phase",150
"SARS-CoV Infections",475
"SARS-CoV-1 activates/modulates innate immune responses",41
"SARS-CoV-1 Genome Replication and Transcription",4
"SARS-CoV-1 Infection",143
"SARS-CoV-1 modulates host translation machinery",37
"SARS-CoV-1 targets host intracellular signalling and regulatory pathways",16
"SARS-CoV-1 targets PDZ proteins in cell-cell junction",1
"SARS-CoV-1-host interactions",98
"SARS-CoV-1-mediated effects on programmed cell death",3
"SARS-CoV-2 activates/modulates innate and adaptive immune responses",126
"SARS-CoV-2 Genome Replication and Transcription",4
"SARS-CoV-2 Infection",303
"SARS-CoV-2 modulates autophagy",11
"SARS-CoV-2 modulates host translation machinery",51
"SARS-CoV-2 targets host intracellular signalling and regulatory pathways",12
"SARS-CoV-2 targets PDZ proteins in cell-cell junction",5
"SARS-CoV-2-host interactions",204
"Scavenging by Class A Receptors",19
"Scavenging by Class B Receptors",6
"Scavenging by Class F Receptors",6
"Scavenging by Class H Receptors",4
"Scavenging of heme from plasma",69
"SCF-beta-TrCP mediated degradation of Emi1",42
"SCF(Skp2)-mediated degradation of p27/p21",50
"SDK interactions",2
"Sealing of the nuclear envelope (NE) by ESCRT-III",32
"Selective autophagy",90
"Selenoamino acid metabolism",118
"Selenocysteine synthesis",94
"Sema3A PAK dependent Axon repulsion",16
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",14
"Sema4D in semaphorin signaling",24
"Sema4D induced cell migration and growth-cone collapse",20
"Sema4D mediated inhibition of cell attachment and migration",8
"Semaphorin interactions",64
"semaxanib-resistant FLT3 mutants",1
"Senescence-Associated Secretory Phenotype (SASP)",111
"Sensing of DNA Double Strand Breaks",6
"Sensory Perception",636
"Sensory perception of salty taste",6
"Sensory perception of sour taste",2
"Sensory perception of sweet, bitter, and umami (glutamate) taste",41
"Sensory perception of taste",47
"Sensory processing of sound",77
"Sensory processing of sound by inner hair cells of the cochlea",69
"Sensory processing of sound by outer hair cells of the cochlea",55
"Separation of Sister Chromatids",178
"Serine metabolism",11
"Serotonin and melatonin biosynthesis",5
"Serotonin clearance from the synaptic cleft",3
"Serotonin Neurotransmitter Release Cycle",18
"Serotonin receptors",12
"Severe congenital neutropenia type 4 (G6PC3)",1
"SHC-mediated cascade:FGFR1",21
"SHC-mediated cascade:FGFR2",23
"SHC-mediated cascade:FGFR3",18
"SHC-mediated cascade:FGFR4",20
"SHC-related events triggered by IGF1R",9
"SHC1 events in EGFR signaling",14
"SHC1 events in ERBB2 signaling",22
"SHC1 events in ERBB4 signaling",14
"SHOC2 M1731 mutant abolishes MRAS complex function",8
"Sialic acid metabolism",33
"Signal amplification",33
"Signal attenuation",10
"Signal regulatory protein family interactions",16
"Signal Transduction",2611
"Signal transduction by L1",21
"Signaling by activated point mutants of FGFR1",11
"Signaling by activated point mutants of FGFR3",12
"Signaling by Activin",17
"Signaling by ALK",30
"Signaling by ALK fusions and activated point mutants",93
"Signaling by ALK in cancer",93
"Signaling by AMER1 mutants",14
"Signaling by APC mutants",14
"Signaling by AXIN mutants",14
"Signaling by BMP",31
"Signaling by BRAF and RAF1 fusions",65
"Signaling by CSF1 (M-CSF) in myeloid cells",31
"Signaling by CSF3 (G-CSF)",30
"Signaling by CTNNB1 phospho-site mutants",15
"Signaling by cytosolic FGFR1 fusion mutants",18
"Signaling by cytosolic PDGFRA and PDGFRB fusion proteins",3
"Signaling by EGFR",53
"Signaling by EGFR in Cancer",25
"Signaling by EGFRvIII in Cancer",15
"Signaling by ERBB2",50
"Signaling by ERBB2 ECD mutants",16
"Signaling by ERBB2 in Cancer",26
"Signaling by ERBB2 KD Mutants",25
"Signaling by ERBB2 TMD/JMD mutants",22
"Signaling by ERBB4",58
"Signaling by Erythropoietin",25
"Signaling by extracellular domain mutants of KIT",1
"Signaling by FGFR",89
"Signaling by FGFR in disease",63
"Signaling by FGFR1",52
"Signaling by FGFR1 amplification mutants",1
"Signaling by FGFR1 in disease",38
"Signaling by FGFR2",73
"Signaling by FGFR2 amplification mutants",1
"Signaling by FGFR2 fusions",1
"Signaling by FGFR2 IIIa TM",19
"Signaling by FGFR2 in disease",43
"Signaling by FGFR3",40
"Signaling by FGFR3 fusions in cancer",1
"Signaling by FGFR3 in disease",22
"Signaling by FGFR4",41
"Signaling by FGFR4 in disease",11
"Signaling by FLT3 fusion proteins",19
"Signaling by FLT3 ITD and TKD mutants",16
"Signaling by GPCR",704
"Signaling by GSK3beta mutants",15
"Signaling by Hedgehog",137
"Signaling by high-kinase activity BRAF mutants",36
"Signaling by Hippo",20
"Signaling by Insulin receptor",82
"Signaling by Interleukins",461
"Signaling by juxtamembrane domain KIT mutants",1
"Signaling by kinase domain mutants of KIT",1
"Signaling by KIT in disease",20
"Signaling by Leptin",11
"Signaling by Ligand-Responsive EGFR Variants in Cancer",19
"Signaling by LRP5 mutants ",6
"Signaling by LTK",12
"Signaling by LTK in cancer",7
"Signaling by MAP2K mutants",4
"Signaling by MAPK mutants",7
"Signaling by membrane-tethered fusions of PDGFRA or PDGFRB",5
"Signaling by MET",79
"Signaling by moderate kinase activity BRAF mutants",45
"Signaling by MRAS-complex mutants",8
"Signaling by MST1",5
"Signaling by NODAL",23
"Signaling by Non-Receptor Tyrosine Kinases",54
"Signaling by NOTCH",241
"Signaling by NOTCH1",74
"Signaling by NOTCH1 HD Domain Mutants in Cancer",15
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",58
"Signaling by NOTCH1 in Cancer",58
"Signaling by NOTCH1 PEST Domain Mutants in Cancer",58
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",7
"Signaling by NOTCH2",36
"Signaling by NOTCH3",49
"Signaling by NOTCH4",72
"Signaling by NTRK1 (TRKA)",115
"Signaling by NTRK2 (TRKB)",25
"Signaling by NTRK3 (TRKC)",17
"Signaling by NTRKs",134
"Signaling by Nuclear Receptors",294
"Signaling by Overexpressed Wild-Type EGFR in Cancer",8
"Signaling by PDGF",58
"Signaling by PDGFR in disease",20
"Signaling by PDGFRA extracellular domain mutants",12
"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",12
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",20
"Signaling by plasma membrane FGFR1 fusions",3
"Signaling by PTK6",54
"Signaling by RAF1 mutants",41
"Signaling by RAS GAP mutants",3
"Signaling by RAS GTPase mutants",3
"Signaling by RAS mutants",45
"Signaling by Receptor Tyrosine Kinases",532
"Signaling by Retinoic Acid",41
"Signaling by Rho GTPases",704
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",720
"Signaling by RNF43 mutants",8
"Signaling by ROBO receptors",205
"Signaling by SCF-KIT",43
"Signaling by TCF7L2 mutants",3
"Signaling by TGF-beta Receptor Complex",94
"Signaling by TGF-beta Receptor Complex in Cancer",8
"Signaling by TGFB family members",161
"Signaling by TGFBR3",49
"Signaling by the B Cell Receptor (BCR)",153
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",54
"Signaling by VEGF",106
"Signaling by WNT",317
"Signaling by WNT in cancer",34
"Signaling downstream of RAS mutants",45
"Signalling to ERK5",2
"Signalling to ERKs",34
"Signalling to p38 via RIT and RIN",5
"Signalling to RAS",20
"Signalling to STAT3",3
"SIRT1 negatively regulates rRNA expression",67
"SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs",11
"SLBP independent Processing of Histone Pre-mRNAs",10
"SLC transporter disorders",98
"SLC-mediated bile acid transport",7
"SLC-mediated transmembrane transport",243
"SLC-mediated transport of amino acids",37
"SLC-mediated transport of inorganic anions",35
"SLC-mediated transport of neurotransmitters",21
"SLC-mediated transport of oligopeptides",4
"SLC-mediated transport of organic anions",38
"SLC-mediated transport of organic cations",15
"SLC15A4:TASL-dependent IRF5 activation",6
"SLIT2:ROBO1 increases RHOA activity",4
"SMAC (DIABLO) binds to IAPs ",7
"SMAC, XIAP-regulated apoptotic response",8
"SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ",7
"SMAD2/3 MH2 Domain Mutants in Cancer",3
"SMAD2/3 Phosphorylation Motif Mutants in Cancer",6
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",36
"SMAD4 MH2 Domain Mutants in Cancer",3
"Small interfering RNA (siRNA) biogenesis",9
"Smooth Muscle Contraction",43
"snRNP Assembly",54
"Sodium-coupled phosphate cotransporters",6
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",2
"Sodium/Calcium exchangers",11
"Sodium/Proton exchangers",9
"Somitogenesis",45
"sorafenib-resistant FLT3 mutants",1
"Sorafenib-resistant KIT mutants",1
"Sorafenib-resistant PDGFR mutants",1
"SOS-mediated signalling",7
"Specification of primordial germ cells",12
"Specification of the neural plate border",17
"Sperm Motility And Taxes",9
"Sphingolipid catabolism",12
"Sphingolipid de novo biosynthesis",37
"Sphingolipid metabolism",107
"SPOP-mediated proteasomal degradation of PD-L1(CD274)",46
"Spry regulation of FGF signaling",16
"SRP-dependent cotranslational protein targeting to membrane",113
"Stabilization of p53",44
"STAT3 nuclear events downstream of ALK signaling",11
"STAT5 Activation",7
"STAT5 activation downstream of FLT3 ITD mutants",10
"STAT6-mediated induction of chemokines",3
"Sterols are 12-hydroxylated by CYP8B1",1
"Stimulation of the cell death response by PAK-2p34",2
"Stimuli-sensing channels",106
"STING mediated induction of host immune responses",16
"Strand-asynchronous mitochondrial DNA replication",10
"Striated Muscle Contraction",36
"Sulfide oxidation to sulfate",6
"Sulfur amino acid metabolism",28
"SUMO E3 ligases SUMOylate target proteins",183
"SUMO is conjugated to E1 (UBA2:SAE1)",5
"SUMO is proteolytically processed",6
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",7
"SUMOylation",189
"SUMOylation of chromatin organization proteins",71
"SUMOylation of DNA damage response and repair proteins",77
"SUMOylation of DNA methylation proteins",16
"SUMOylation of DNA replication proteins",46
"SUMOylation of immune response proteins",12
"SUMOylation of intracellular receptors",30
"SUMOylation of nuclear envelope proteins",3
"SUMOylation of RNA binding proteins",47
"SUMOylation of SUMOylation proteins",35
"SUMOylation of transcription cofactors",44
"SUMOylation of transcription factors",20
"SUMOylation of ubiquitinylation proteins",39
"sunitinib-resistant FLT3 mutants",1
"Sunitinib-resistant KIT mutants",1
"Sunitinib-resistant PDGFR mutants",1
"Suppression of apoptosis",7
"Suppression of autophagy",2
"Suppression of phagosomal maturation",13
"Surfactant metabolism",30
"SWI/SNF chromatin remodelers",31
"Switching of origins to a post-replicative state",79
"Synaptic adhesion-like molecules",21
"Syndecan interactions",27
"Synthesis and processing of ENV and VPU",1
"Synthesis And Processing Of GAG, GAGPOL Polyproteins",14
"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)",9
"Synthesis of 12-eicosatetraenoic acid derivatives",7
"Synthesis of 15-eicosatetraenoic acid derivatives",6
"Synthesis of 5-eicosatetraenoic acids",9
"Synthesis of active ubiquitin: roles of E1 and E2 enzymes",30
"Synthesis of bile acids and bile salts",33
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",13
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",14
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",23
"Synthesis of CL",1
"Synthesis of diphthamide-EEF2",8
"Synthesis of DNA",108
"Synthesis of dolichyl-phosphate",7
"Synthesis of dolichyl-phosphate mannose",3
"Synthesis of dolichyl-phosphate-glucose",2
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)",8
"Synthesis of GDP-mannose",6
"Synthesis of glycosylphosphatidylinositol (GPI)",18
"Synthesis of Hepoxilins (HX) and Trioxilins (TrX)",1
"Synthesis of IP2, IP, and Ins in the cytosol",14
"Synthesis of IP3 and IP4 in the cytosol",26
"Synthesis of IPs in the ER lumen",1
"Synthesis of IPs in the nucleus",4
"Synthesis of Ketone Bodies",8
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",20
"Synthesis of PA",39
"Synthesis of PC",28
"Synthesis of PE",13
"Synthesis of PG",8
"Synthesis of PI",5
"Synthesis of PIPs at the early endosome membrane",16
"Synthesis of PIPs at the ER membrane",5
"Synthesis of PIPs at the Golgi membrane",18
"Synthesis of PIPs at the late endosome membrane",11
"Synthesis of PIPs at the plasma membrane",53
"Synthesis of PIPs in the nucleus",4
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",15
"Synthesis of PS",2
"Synthesis of pyrophosphates in the cytosol",10
"Synthesis of substrates in N-glycan biosythesis",65
"Synthesis of UDP-N-acetyl-glucosamine",8
"Synthesis of very long-chain fatty acyl-CoAs",24
"Synthesis of wybutosine at G37 of tRNA(Phe)",6
"Synthesis, secretion, and deacylation of Ghrelin",19
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",21
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",13
"t(4;14) translocations of FGFR3",1
"Tachykinin receptors bind tachykinins",5
"TAK1-dependent IKK and NF-kappa-B activation  ",44
"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",1
"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",1
"tamatinib-resistant FLT3 mutants",1
"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)",3
"Tandem pore domain halothane-inhibited K+ channel (THIK)",1
"Tandem pore domain potassium channels",12
"tandutinib-resistant FLT3 mutants",1
"Tat-mediated elongation of the HIV-1 transcript",43
"Tat-mediated HIV elongation arrest and recovery",31
"TBC/RABGAPs",44
"TCF dependent signaling in response to WNT",220
"TCR signaling",111
"Telomere C-strand (Lagging Strand) Synthesis",34
"Telomere C-strand synthesis initiation",13
"Telomere Extension By Telomerase",23
"Telomere Maintenance",112
"Terminal pathway of complement",8
"Termination of O-glycan biosynthesis",23
"Termination of translesion DNA synthesis",32
"TET1,2,3 and TDG demethylate DNA",4
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",10
"TFAP2 (AP-2) family regulates transcription of cell cycle factors",5
"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",15
"TFAP2 (AP-2) family regulates transcription of other transcription factors",4
"TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation",5
"TGF-beta receptor signaling activates SMADs",47
"TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)",16
"TGFBR1 KD Mutants in Cancer",6
"TGFBR1 LBD Mutants in Cancer",4
"TGFBR2 Kinase Domain Mutants in Cancer",3
"TGFBR2 MSI Frameshift Mutants in Cancer",2
"TGFBR3 expression",28
"TGFBR3 PTM regulation",11
"TGFBR3 regulates activin signaling",4
"TGFBR3 regulates FGF2 signaling",3
"TGFBR3 regulates TGF-beta signaling",8
"The activation of arylsulfatases",13
"The AIM2 inflammasome",3
"The canonical retinoid cycle in rods (twilight vision)",22
"The CRY:PER:kinase complex represses transactivation by the BMAL:CLOCK (ARNTL:CLOCK) complex",14
"The fatty acid cycling model",5
"The IPAF inflammasome",2
"The NLRP1 inflammasome",3
"The NLRP3 inflammasome",16
"The phototransduction cascade",34
"The retinoid cycle in cones (daylight vision)",7
"The role of GTSE1 in G2/M progression after G2 checkpoint",66
"The role of Nef in HIV-1 replication and disease pathogenesis",28
"Threonine catabolism",3
"Thrombin signalling through proteinase activated receptors (PARs)",32
"Thromboxane signalling through TP receptor",24
"Thyroxine biosynthesis",14
"TICAM1 deficiency - HSE",2
"TICAM1-dependent activation of IRF3/IRF7",13
"TICAM1, RIP1-mediated IKK complex recruitment",19
"TICAM1,TRAF6-dependent induction of TAK1 complex",11
"Tie2 Signaling",18
"Tight junction interactions",30
"TLR3 deficiency - HSE",1
"TLR3-mediated TICAM1-dependent programmed cell death",6
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",17
"TNF signaling",57
"TNFR1-induced NF-kappa-B signaling pathway",33
"TNFR1-induced proapoptotic signaling",25
"TNFR1-mediated ceramide production",6
"TNFR2 non-canonical NF-kB pathway",88
"TNFs bind their physiological receptors",29
"Toll Like Receptor 10 (TLR10) Cascade",96
"Toll Like Receptor 2 (TLR2) Cascade",115
"Toll Like Receptor 3 (TLR3) Cascade",105
"Toll Like Receptor 4 (TLR4) Cascade",145
"Toll Like Receptor 5 (TLR5) Cascade",96
"Toll Like Receptor 7/8 (TLR7/8) Cascade",106
"Toll Like Receptor 9 (TLR9) Cascade",109
"Toll Like Receptor TLR1:TLR2 Cascade",115
"Toll Like Receptor TLR6:TLR2 Cascade",112
"Toll-like Receptor Cascades",170
"Toxicity of botulinum toxin type A (botA)",4
"Toxicity of botulinum toxin type B (botB)",3
"Toxicity of botulinum toxin type C (botC)",3
"Toxicity of botulinum toxin type D (botD)",5
"Toxicity of botulinum toxin type E (botE)",3
"Toxicity of botulinum toxin type F (botF)",5
"Toxicity of botulinum toxin type G (botG)",3
"Toxicity of tetanus toxin (tetX)",1
"TP53 Regulates Metabolic Genes",84
"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain",21
"TP53 Regulates Transcription of Caspase Activators and Caspases",12
"TP53 Regulates Transcription of Cell Cycle Genes",49
"TP53 Regulates Transcription of Cell Death Genes",44
"TP53 Regulates Transcription of Death Receptors and Ligands",12
"TP53 Regulates Transcription of DNA Repair Genes",62
"TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",20
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",14
"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",18
"TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain",14
"TRAF3 deficiency - HSE",3
"TRAF3-dependent IRF activation pathway",15
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",101
"TRAF6 mediated IRF7 activation",30
"TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling",13
"TRAF6 mediated NF-kB activation",25
"TRAF6-mediated induction of TAK1 complex within TLR4 complex",16
"Trafficking and processing of endosomal TLR",13
"Trafficking of AMPA receptors",31
"Trafficking of GluR2-containing AMPA receptors",17
"Trafficking of myristoylated proteins to the cilium",5
"TRAIL  signaling",8
"trans-Golgi Network Vesicle Budding",72
"Transcription from mitochondrial promoters",4
"Transcription of E2F targets under negative control by DREAM complex",19
"Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1",16
"Transcription of the HIV genome",70
"Transcription-Coupled Nucleotide Excision Repair (TC-NER)",76
"Transcriptional  activation of  cell cycle inhibitor p21 ",4
"Transcriptional activation of mitochondrial biogenesis",55
"Transcriptional activation of p53 responsive genes  ",4
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",51
"Transcriptional and post-translational regulation of MITF-M expression and activity",62
"Transcriptional Regulation by E2F6",34
"Transcriptional Regulation by MECP2",63
"Transcriptional Regulation by NPAS4",34
"Transcriptional regulation by RUNX1",224
"Transcriptional regulation by RUNX2",106
"Transcriptional regulation by RUNX3",86
"Transcriptional regulation by small RNAs",106
"Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors",38
"Transcriptional Regulation by TP53",360
"Transcriptional Regulation by VENTX",41
