"mature","strand","mature_miRNA","miRNA gene ID (HUGO)","miRNA precursor/locus ID (miRBase)","miRNA ID (miRBase)","miRNA precursor/locus ID (MirGeneDB)","oncogene (O)/tumor-suppressor (TS)","predominantly expressed miRNA (miRNA-strand balance)","top 3p miRNA targets (based on miRTarBase)","top 5p miRNA targets (based on miRTarBase)","CMC score","miRCancer POINTS [criterion I]","dbDEMC POINTS [criterion II]","oncomiRDB POINTS [criterion III]","consistency of associations POINTS [criterion IV]","cancer hallmarks POINTS [criterion V]","associated with hallmark Angiogenesis 1 (Angiogenesis, upregulated)","associated with hallmark Angiogenesis 2 (Angiogenesis)","associated with hallmark Angiogenesis 3 (Angiogenesis, MSigDB)","associated with hallmark Apoptosis 1 (Apoptosis, MSigDB)","associated with hallmark Apoptosis 2 (Apoptosis)","associated with hallmark DNA Repair (DNA repair, MSigDB)","associated with hallmark EMT (Epithelial mesenchymal transition, MSigDB)","associated with hallmark G2M Checkpoint (G2M checkpoint, MSigDB)","associated with hallmark Hypoxia 1 (Hypoxia, MSigDB)","associated with hallmark Hypoxia 2 (Hypoxia)","associated with hallmark IL2 STAT5 Signaling (IL2-STAT5 signalling, MSigDB)","associated with hallmark IL6 JAK STAT3 Signaling (IL6-JAK-STAT3 signalling, MSigDB)","associated with hallmark Immune (Immune invasion, upregulated)","associated with hallmark Inflammatory Response (Inflammatory response, MSigDB)","associated with hallmark Invasiveness (Invasiveness)","associated with hallmark KRAS Signaling Up (KRAS signalling, up, MSigDB)","associated with hallmark Oxidative Phosphorylation (Oxidative phosphorylation, MSigDB)"," associated with hallmark p53 Pathway (p53 Pathway, MSigDB)","associated with hallmark PI3K AKT MTOR Signaling (PI3K-AKT-MTor signalling, MSigDB)","associated with hallmark Proliferation (Proliferation, upregulated)","associated with hallmark ROS Pathway (Reactive oxygen species pathway, MSigDB)","associated with hallmark TGF Beta Signaling (TGF-beta signalling, MSigDB)","associated with hallmark TNFa Signaling via NFKB (TNF-alpha signalling via NF-kappaB, MSigDB)","associated with hallmark Xenobiotic Metabolism (Xenobiotic metabolism, MSigDB)","KEGG ""MicroRNAs in cancer"" POINTS [criterion VI]","genetic evidence POINTS [criterion VII]","differentially expressed in Pan-cancer (Hamilton, Nat Commun, 2013)","differentially expressed in Colorectal cancer (Vishnubalaji, Cell Death Dis, 2015)","differentially expressed in Gastric cancer (Oh, Clin Cancer Res, 2011)","differentially expressed in Head and neck cancer (Koshizuka, Oncotarget, 2017)","differentially expressed in Kidney cancer (Wach, Br J Cancer, 2013)","differentially expressed in Melanoma (Kozubek, PLoS One, 2013)","differentially expressed in Ovarian cancer (Krasniqi, Biomark Res, 2021)","differentially expressed in Thyroid cancer (Mancikova, Modern Pathology, 2015)","attributed to Bladder cancer (Rev) (Yoshino, Nat Rev Urol, 2013)","attributed to Breast cancer (Rev) (van Schooneveld, Breast Cancer Research, 2015)","attributed to Lung cancer (Rev) (Zhu, Front Cell Dev Biol, 2021)","attributed to Pancreatic cancer (Rev) (Yonemori, J Hum Genet, 2017)","attributed to Prostate cancer (Rev) (Goto, Int J Urol, 2015)","differentially expressed in TCGA-BLCA (Bladder Urothelial Carcinoma )","differentially expressed in TCGA-BRCA (Breast Invasive Carcinoma)","differentially expressed in TCGA-CHOL (Cholangiocarcinoma)","differentially expressed in TCGA-COAD (Colon Adenocarcinoma)","differentially expressed in TCGA-ESCA (Esophageal Carcinoma)","differentially expressed in TCGA-HNSC (Head and Neck Squamous Cell Carcinoma)","differentially expressed in TCGA-KICH (Kidney Chromophobe)","differentially expressed in TCGA-KIRC (Kidney Renal Clear Cell Carcinoma)","differentially expressed in TCGA-KIRP (Kidney Renal Papillary Cell Carcinoma)","differentially expressed in TCGA-LIHC (Liver Hepatocellular Carcinoma)","differentially expressed in TCGA-LUAD (Lung Adenocarcinoma)","differentially expressed in TCGA-LUSC (Lung Squamous Cell Carcinoma)","differentially expressed in TCGA-PRAD (Prostate Adenocarcinoma)","differentially expressed in TCGA-STAD (Stomach Adenocarcinoma)","differentially expressed in TCGA-THCA (Thyroid Cancer)","differentially expressed in TCGA-UCEC (Uterine Corpus Endometrial Carcinoma)","CRISPR/Cas9 KO screen  of  cell fitness (HeLa - cervical cancer cell line) (Kurata, RNA, 2018)","CRISPR/Cas9 KO screen  of cell fitness (NCI-N87 - gastric cancer cell line) (Kurata, RNA, 2018)","CRISPR/Cas9 KO screen  of cell growth (MV4-11 - myeloid leukemia cell line) (Wallace, PLOS One, 2016)","miRNAS as cancer therapeutic targets in clinical trials (Kim, Exp Mol Med, 2023)"
"hsa-miR-15b-5p","5p","hsa-miR-15b-5p","MIR15B","hsa-mir-15b","miR-15b","Hsa-Mir-15-P1b","","5p","","VEGFA, SMAD7",4,0.5,1,0.5,NA,1,"","DOWN","","","","UP","","UP","","UP","","","","","DOWN","DOWN","UP","DOWN","","UP","","","","",1,NA,"","","","","","YES","","","","","","UP","","UP","UP","","","UP","UP","","UP","","","","UP","UP","UP","DOWN","UP","","","",""
"hsa-miR-16-5p","5p","hsa-miR-16-5p","MIR16-1","hsa-mir-16-1","miR-16","Hsa-Mir-15-P2a","","5p","","BCL2, VEGFA",6,1,1,1,NA,1,"UP/DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP","DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN",1,1,"","","UP","DOWN","","","DOWN","","","","DOWN","","DOWN","UP","UP","","UP","UP","","","UP","","","","","UP","UP","UP","UP","","","","MIMIC"
"hsa-miR-16-5p","5p","hsa-miR-16-5p","MIR16-2","hsa-mir-16-2","miR-16","Hsa-Mir-15-P2b","","5p","","BCL2, VEGFA",5,1,1,1,NA,1,"UP/DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP","DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN",1,NA,"","","UP","DOWN","","","DOWN","","","","DOWN","","DOWN","UP","UP","","UP","","UP","","UP","","","","","UP","UP","DOWN","UP","","","","MIMIC"
"hsa-miR-17-5p","5p","hsa-miR-17-5p","MIR17","hsa-mir-17","miR-17","Hsa-Mir-17-P1a","O","5p","","BCL2L11, CCND1",5,1,1,1,NA,1,"UP/DOWN","DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","UP","DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","DOWN",1,NA,"UP","UP","UP","","","","","","UP","","","","","UP","UP","","","","UP","","UP","UP","","UP","UP","UP","UP","UP","UP","","","",""
"hsa-miR-181a-5p","5p","hsa-miR-181a-5p","MIR181A1","hsa-mir-181a-1","miR-181a","Hsa-Mir-181-P1a","","5p","","ATM, BCL2",5,1,1,1,NA,1,"DOWN","UP","UP","UP","UP","","UP","","","DOWN","UP","UP","UP","UP","","UP","DOWN","","","DOWN","DOWN","UP","","",1,NA,"","","","","","","","UP","","","","UP","","UP","UP","","DOWN","UP","UP","DOWN","UP","","","UP","DOWN","UP","UP","UP","UP","","","",""
"hsa-miR-181a-5p","5p","hsa-miR-181a-5p","MIR181A2","hsa-mir-181a-2","miR-181a","Hsa-Mir-181-P1b","","5p","","ATM, BCL2",5,1,1,1,NA,1,"DOWN","UP","UP","UP","UP","","UP","","","DOWN","UP","UP","UP","UP","","UP","DOWN","","","DOWN","DOWN","UP","","",1,NA,"","","","","","","","UP","","","","UP","","UP","UP","","DOWN","UP","UP","DOWN","UP","","","UP","DOWN","UP","UP","UP","UP","","PRO","",""
"hsa-miR-181b-5p","5p","hsa-miR-181b-5p","MIR181B1","hsa-mir-181b-1","miR-181b","Hsa-Mir-181-P2a","","5p","","ATM, HSPA1B",4,0.5,0.5,1,NA,1,"","UP","","","","","","","","","","","","","","","DOWN","","","","DOWN","","","",1,NA,"","","","","","DOWN","","","","","","UP","","UP","UP","","","UP","UP","DOWN","UP","","","","","","UP","UP","UP","","","",""
"hsa-miR-181b-5p","5p","hsa-miR-181b-5p","MIR181B2","hsa-mir-181b-2","miR-181b","Hsa-Mir-181-P2b","","5p","","ATM, HSPA1B",4,0.5,0.5,1,NA,1,"","UP","","","","","","","","","","","","","","","DOWN","","","","DOWN","","","",1,NA,"","","","","","DOWN","","","","","","UP","","UP","UP","","","UP","UP","DOWN","UP","","","","","","UP","UP","UP","","","",""
"hsa-miR-181c-5p","5p","hsa-miR-181c-5p","MIR181C","hsa-mir-181c","miR-181c","Hsa-Mir-181-P1c","","5p","","HSPA1B, ZNF667",2.5,NA,NA,0.5,NA,1,"","","","","UP","","","DOWN","","DOWN","","","DOWN","","","","DOWN","DOWN","DOWN","DOWN","DOWN","","DOWN","DOWN",1,NA,"","","DOWN","","","","","","","","","","","UP","UP","","","","","DOWN","UP","","","UP","DOWN","","","","UP","","","",""
"hsa-miR-182-5p","5p","hsa-miR-182-5p","MIR182","hsa-mir-182","miR-182","Hsa-Mir-96-P2","O","5p","","FOXO1, PFN1",4,1,1,1,NA,1,"","","","","","","","DOWN","","","","","","","","","","","","","","","","",NA,NA,"UP","UP","","","","","","UP","UP","","","","UP","UP","UP","UP","UP","","UP","UP","","UP","UP","UP","UP","UP","UP","UP","UP","","","PRO",""
"hsa-miR-183-5p","5p","hsa-miR-183-5p","MIR183","hsa-mir-183","miR-183","Hsa-Mir-96-P3-v1/v2","O","5p","","ANKEF1, FOXO1",4.5,1,1,0.5,NA,1,"","","","","","","","","","UP","","DOWN","DOWN","","","","","","","","","","DOWN","",1,NA,"UP","UP","","","","","","UP","UP","","","","","UP","UP","UP","","","UP","UP","DOWN","UP","UP","UP","UP","UP","UP","UP","UP","","","",""
"hsa-miR-18a-5p","5p","hsa-miR-18a-5p","MIR18A","hsa-mir-18a","miR-18a","Hsa-Mir-17-P2a","O","5p","","ATM, HIF1A",4,0.5,1,0.5,NA,1,"UP/DOWN","DOWN","UP/DOWN","DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","UP","",1,NA,"UP","UP","UP","UP","","","","","","","","","","UP","UP","","UP","","UP","","UP","","","","UP","UP","UP","DOWN","UP","","","",""
"hsa-miR-192-5p","5p","hsa-miR-192-5p","MIR192","hsa-mir-192","miR-192","Hsa-Mir-192-P2","","5p","","BCL2L11, FAM182B",3.5,0.5,0.5,0.5,NA,1,"DOWN","DOWN","","","","DOWN","DOWN","DOWN","","DOWN","","","","","DOWN","","","DOWN","","","UP","DOWN","","UP",1,NA,"UP","","UP","","","","","","","","","","","UP","UP","DOWN","","","","DOWN","","","","","UP","UP","UP","DOWN","UP","","","",""
"hsa-miR-193a-5p","5p","hsa-miR-193a-5p","MIR193A","hsa-mir-193a","miR-193a","Hsa-Mir-193-P1b","","5p/3p","MCL1, CTC1","PCSK9, RBBP6",2.5,NA,1,0.5,NA,1,"UP","","","","","","","","UP","","","","","","","","DOWN","","","","","","UP","",NA,NA,"","","","","","","DOWN","","","","","","","","DOWN","DOWN","DOWN","","","DOWN","UP","","","","","","","DOWN","","","","","MIMIC"
"hsa-miR-193a-3p","3p","hsa-miR-193a-3p","MIR193A","hsa-mir-193a","miR-193a","Hsa-Mir-193-P1b","","5p/3p","MCL1, CTC1","PCSK9, RBBP6",2.5,NA,1,0.5,NA,1,"UP","","","","","","","","UP","","","","","","","","DOWN","","","","","","UP","",NA,NA,"","","","","","","DOWN","","","","","","","","DOWN","DOWN","DOWN","","","DOWN","UP","","","","","","","DOWN","","","","","MIMIC"
"hsa-miR-193b-3p","3p","hsa-miR-193b-3p","MIR193B","hsa-mir-193b","miR-193b","Hsa-Mir-193-P1a","","3p","CCND1, KRAS","",3,NA,0.5,0.5,NA,1,"","DOWN","","","","","","","","UP","","","","","","","","","","UP","UP","","","",1,NA,"","","DOWN","","","","DOWN","","","","","","","UP","","DOWN","DOWN","","UP","","","","","UP","UP","","","DOWN","UP","","","ANTI",""
"hsa-miR-194-5p","5p","hsa-miR-194-5p","MIR194-1","hsa-mir-194-1","miR-194","Hsa-Mir-194-P1","","5p","","GIGYF1, IGF1R",3.5,0.5,0.5,0.5,NA,1,"","","","","","","DOWN","DOWN","","","","","","","","","","","","","","","","",1,NA,"","","","","DOWN","","","","","","","","","","UP","DOWN","","","","DOWN","","","DOWN","","","UP","UP","DOWN","UP","PRO","","",""
"hsa-miR-194-5p","5p","hsa-miR-194-5p","MIR194-2","hsa-mir-194-2","miR-194","Hsa-Mir-194-P2","","5p","","GIGYF1, IGF1R",3.5,0.5,0.5,0.5,NA,1,"","","","","","","DOWN","DOWN","","","","","","","","","","","","","","","","",1,NA,"","","","","DOWN","","","","","","","","","","UP","DOWN","","","","DOWN","","","DOWN","","","UP","UP","DOWN","UP","PRO","","",""
"hsa-miR-195-5p","5p","hsa-miR-195-5p","MIR195","hsa-mir-195","miR-195","Hsa-Mir-15-P2d","TS","5p","","VEGFA, WEE1",4.5,1,1,0.5,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","",1,NA,"DOWN","DOWN","","DOWN","DOWN","YES","DOWN","","DOWN","","","","DOWN","","DOWN","","DOWN","","DOWN","DOWN","UP","DOWN","DOWN","DOWN","DOWN","UP","DOWN","DOWN","DOWN","","","",""
"hsa-miR-199a-3p","3p","hsa-miR-199a-3p","MIR199A1","hsa-mir-199a-1","miR-199a","Hsa-Mir-199-P3-v1/v2/v3","","3p","PAQR5, MTOR","",5,1,1,1,NA,1,"","UP","UP","UP","","DOWN","UP","","UP","","","","","UP","UP","UP","DOWN","","","","","UP","","",1,NA,"","","UP","DOWN","DOWN","","DOWN","","","","","UP","DOWN","","","","UP","","","DOWN","DOWN","DOWN","DOWN","UP","","","UP","DOWN","","","","",""
"hsa-miR-199a-3p","3p","hsa-miR-199a-3p","MIR199A2","hsa-mir-199a-2","miR-199a","Hsa-Mir-199-P1-v1/v2/v3","","3p","PAQR5, MTOR","",5,1,1,1,NA,1,"","UP","UP","UP","","DOWN","UP","","UP","","","","","UP","UP","UP","DOWN","","","","","UP","","",1,NA,"","","UP","DOWN","DOWN","","DOWN","","","","","UP","DOWN","","","","UP","","","DOWN","DOWN","DOWN","DOWN","UP","","","UP","DOWN","","","","",""
"hsa-miR-199b-3p","3p","hsa-miR-199b-3p","MIR199B","hsa-mir-199b","miR-199b","Hsa-Mir-199-P2-v1/v2/v3","","3p","PAQR5, MCOLN2","",3,NA,0.5,0.5,NA,1,"","","UP","UP","","","UP","","","","","","","UP","UP","","","","","","","","","",1,NA,"","","UP","DOWN","DOWN","","","","","","","UP","","","DOWN","","UP","","DOWN","DOWN","DOWN","DOWN","DOWN","UP","","UP","UP","DOWN","","PRO","","",""
"hsa-miR-19a-3p","3p","hsa-miR-19a-3p","MIR19A","hsa-mir-19a","miR-19a","Hsa-Mir-19-P1a","O","3p","TGFBR2, SOCS1","",5,1,0.5,0.5,1,1,"","DOWN","","DOWN","UP/DOWN","UP/DOWN","","UP","DOWN","UP/DOWN","","DOWN","","DOWN","DOWN","DOWN","DOWN","UP/DOWN","","UP","DOWN","DOWN","DOWN","UP/DOWN",1,NA,"UP","UP","UP","","","","DOWN","","","","","","","UP","UP","","UP","","UP","","UP","","","UP","UP","UP","UP","","UP","","","",""
"hsa-miR-19b-3p","3p","hsa-miR-19b-3p","MIR19B1","hsa-mir-19b-1","miR-19b","Hsa-Mir-19-P2a","","3p","TGFBR2, PTEN","",4,0.5,1,0.5,NA,1,"UP/DOWN","DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","UP","DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP","UP/DOWN","DOWN","DOWN","DOWN",1,NA,"","UP","","","DOWN","","DOWN","","","","","","","UP","","","UP","","","DOWN","UP","","DOWN","UP","UP","UP","UP","DOWN","UP","","","",""
"hsa-miR-19b-3p","3p","hsa-miR-19b-3p","MIR19B2","hsa-mir-19b-2","miR-19b","Hsa-Mir-19-P2c","","3p","TGFBR2, PTEN","",4,0.5,1,0.5,NA,1,"UP/DOWN","DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","UP","DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP","UP/DOWN","DOWN","DOWN","DOWN",1,NA,"","UP","","","","","DOWN","","","","","","","UP","","","UP","","","DOWN","","","","","","UP","UP","DOWN","UP","","","PRO",""
"hsa-miR-200a-3p","3p","hsa-miR-200a-3p","MIR200A","hsa-mir-200a","miR-200a","Hsa-Mir-8-P2a","","3p","ZEB2, ZEB1","",4.5,0.5,1,1,NA,1,"","","","","UP","","","","","","","","","","","","","","","","","","","",1,NA,"","","UP","","DOWN","","","","","","","","","UP","UP","UP","","","","","DOWN","DOWN","DOWN","UP","UP","","UP","","UP","","","",""
"hsa-miR-200b-3p","3p","hsa-miR-200b-3p","MIR200B","hsa-mir-200b","miR-200b","Hsa-Mir-8-P1a","","3p","ZEB2, ZEB1","",4.5,0.5,1,1,NA,1,"","DOWN","","","UP","","","","","DOWN","","","","","DOWN","","","","","","","","","",1,NA,"","","UP","DOWN","DOWN","","","","","","","","","UP","UP","UP","","","","","DOWN","DOWN","DOWN","UP","UP","","UP","","UP","","","",""
"hsa-miR-200c-3p","3p","hsa-miR-200c-3p","MIR200C","hsa-mir-200c","miR-200c","Hsa-Mir-8-P1b","","3p","ZEB1, ZEB2","",4.5,1,0.5,1,NA,1,"","DOWN","","","","","DOWN","","","","","","","","","","","","","","","","","",1,NA,"","","","","DOWN","YES","","","UP","","","DOWN","UP","","UP","","DOWN","","","","DOWN","DOWN","","UP","UP","UP","UP","","UP","","","",""
"hsa-miR-203a-3p","3p","hsa-miR-203a-3p","MIR203A","hsa-mir-203a","miR-203a","Hsa-Mir-203-v1/v2","","3p","BMI1, SOCS3","",4.5,1,0.5,1,NA,1,"","DOWN","","","","DOWN","DOWN","","","","","","","","","","","UP","UP","","UP","UP","","",1,NA,"","UP","","DOWN","DOWN","DOWN","","","","","","","","","UP","","","","","","DOWN","DOWN","DOWN","","UP","UP","","","UP","","","",""
"hsa-miR-204-5p","5p","hsa-miR-204-5p","MIR204","hsa-mir-204","miR-204","Hsa-Mir-204-P2","TS","5p","","SNAI2, BCL2",3,1,0.5,0.5,1,NA,"","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"DOWN","","","","DOWN","DOWN","DOWN","","","","","","","","DOWN","","","","DOWN","DOWN","DOWN","","","DOWN","","DOWN","DOWN","DOWN","","","","",""
"hsa-miR-205-5p","5p","hsa-miR-205-5p","MIR205","hsa-mir-205","miR-205","Hsa-Mir-205-P4","","5p","","ZEB1, ERBB3",5,1,NA,1,NA,1,"","DOWN","","","","","","","","UP","","","","","UP","","","UP","","","","","","",1,1,"","","","","","DOWN","","","","DOWN","","","DOWN","UP","DOWN","","","","UP","","","","","","UP","","","","UP","","","",""
"hsa-miR-20a-5p","5p","hsa-miR-20a-5p","MIR20A","hsa-mir-20a","miR-20a","Hsa-Mir-17-P4a","O","5p","","CCND1, TGFBR2",4.5,1,1,0.5,NA,1,"UP/DOWN","DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","DOWN",1,NA,"","UP","UP","","","","","","UP","","","","UP","UP","","","","","UP","","UP","UP","DOWN","UP","UP","UP","UP","","UP","","","",""
"hsa-miR-21-5p","5p","hsa-miR-21-5p","MIR21","hsa-mir-21","miR-21","Hsa-Mir-21","O","5p","","PDCD4, PTEN",7,1,1,1,1,1,"UP/DOWN","DOWN","UP","UP","UP/DOWN","UP/DOWN","UP","UP","UP","UP","UP","UP","UP","UP","UP","UP","DOWN","UP","UP/DOWN","UP","UP","UP","UP","UP",1,1,"UP","UP","UP","UP","UP","YES","","UP","","UP","UP","UP","UP","UP","UP","UP","UP","UP","UP","","UP","UP","UP","UP","UP","UP","UP","UP","UP","","","",""
"hsa-miR-210-3p","3p","hsa-miR-210-3p","MIR210","hsa-mir-210","miR-210","Hsa-Mir-210","O","3p","ISCU, EFNA3","",3.5,0.5,0.5,0.5,NA,1,"UP","DOWN","","","","","","UP","UP","UP","","","","","","","","","UP","","","","","",1,NA,"UP","UP","","","UP","","","","","","UP","UP","","UP","UP","","","","UP","","UP","UP","","UP","UP","UP","","","UP","","","",""
"hsa-miR-214-3p","3p","hsa-miR-214-3p","MIR214","hsa-mir-214","miR-214","Hsa-Mir-214-v1/v2","","3p","PTEN, CDK6","",4,1,0.5,0.5,NA,1,"","","","","","","UP","","","","","","","","UP","","","","","","","","","",1,NA,"DOWN","","UP","","DOWN","","DOWN","","","","","UP","","","DOWN","","","","","DOWN","DOWN","DOWN","DOWN","","","","UP","DOWN","","","","",""
"hsa-miR-215-5p","5p","hsa-miR-215-5p","MIR215","hsa-mir-215","miR-215","Hsa-Mir-192-P1","","5p","","BCL2L11, FAM182B",2,0.5,NA,0.5,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","",1,NA,"","","UP","","","","","","","","","","","UP","DOWN","","","","","","UP","","","","","","","DOWN","UP","","","ANTI",""
"hsa-miR-218-5p","5p","hsa-miR-218-5p","MIR218-1","hsa-mir-218-1","miR-218","Hsa-Mir-218-P2","TS","5p","","BIRC5, ROBO1",3,1,0.5,0.5,NA,1,"","UP","UP","","","","UP","","","","","","","","","UP","","","","","","","","UP",NA,NA,"","","","","","","","DOWN","","","DOWN","","DOWN","","DOWN","","","","DOWN","","DOWN","","","DOWN","DOWN","","","DOWN","","","","",""
"hsa-miR-218-5p","5p","hsa-miR-218-5p","MIR218-2","hsa-mir-218-2","miR-218","Hsa-Mir-218-P4","TS","5p","","BIRC5, ROBO1",3,1,0.5,0.5,NA,1,"","UP","UP","","","","UP","","","","","","","","","UP","","","","","","","","UP",NA,NA,"","","","","","","","","","","DOWN","","DOWN","","DOWN","","","","DOWN","","DOWN","","","","DOWN","","","DOWN","","","","",""
"hsa-miR-22-3p","3p","hsa-miR-22-3p","MIR22","hsa-mir-22","miR-22","Hsa-Mir-22-P1b","","3p","C5orf24, CDKN1A","",2.5,0.5,0.5,0.5,NA,1,"UP/DOWN","UP","UP/DOWN","UP","DOWN","UP/DOWN","UP","DOWN","UP","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP","UP","UP/DOWN","UP","UP","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP","UP",NA,NA,"","","","","","","","","","","","","","","UP/DOWN","DOWN","","","UP","UP","","","DOWN","UP","","","UP","","UP","","","",""
"hsa-miR-221-3p","3p","hsa-miR-221-3p","MIR221","hsa-mir-221","miR-221","Hsa-Mir-221-P2a","","3p","CDKN1B, KIT","",5,1,1,1,NA,1,"","DOWN","","UP","DOWN","","","","","UP","","","","","","","","UP","","","","","UP","",1,NA,"","UP","","","","","","UP","","","","UP","DOWN","","DOWN","","","","","UP","","","UP","","UP","DOWN","UP","UP","","","","ANTI",""
"hsa-miR-222-3p","3p","hsa-miR-222-3p","MIR222","hsa-mir-222","miR-222","Hsa-Mir-221-P1a","O","3p","CDKN1B, KIT","",4.5,1,0.5,1,NA,1,"","DOWN","","UP","","","","","","","","","","","","","","UP","","","","","UP","",1,NA,"","","DOWN","","","YES","","UP","","","","UP","DOWN","","","","UP","","UP","UP","","","UP","","","DOWN","UP","UP","","","","",""
"hsa-miR-223-3p","3p","hsa-miR-223-3p","MIR223","hsa-mir-223","miR-223","Hsa-Mir-223","","3p","LMO2, NFIA","",4,1,0.5,0.5,NA,1,"","","UP","UP","","","UP","","UP","UP","UP","UP","","UP","UP","UP","DOWN","UP","","","","UP","UP","UP",1,NA,"","","UP","","","","DOWN","","","","","UP","","","DOWN","","","","","","UP","","DOWN","","DOWN","","UP","DOWN","","","","",""
"hsa-miR-224-5p","5p","hsa-miR-224-5p","MIR224","hsa-mir-224","miR-224","Hsa-Mir-224","O","5p","","AKIRIN1, F3",3.5,0.5,0.5,0.5,NA,1,"","","","","","","","","","","","","","","","","","","","","UP","","","",1,NA,"UP","UP","UP","","","","","UP","UP","","UP","","","","DOWN","","","","UP","","UP","","UP","","UP","","","UP","UP","","","",""
"hsa-miR-23a-3p","3p","hsa-miR-23a-3p","MIR23A","hsa-mir-23a","miR-23a","Hsa-Mir-23-P3","","3p","VAV3, HMGB2","",3.5,0.5,0.5,0.5,NA,1,"UP/DOWN","DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","UP","","UP","UP/DOWN","UP/DOWN","UP","DOWN","UP","UP","","DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP","UP","DOWN",1,NA,"","","UP","","","","","","","","","UP","","","","","DOWN","","UP","","UP","UP","DOWN","","","","UP","","UP","","","",""
"hsa-miR-23b-3p","3p","hsa-miR-23b-3p","MIR23B","hsa-mir-23b","miR-23b","Hsa-Mir-23-P2","","3p","VAV3, HMGB2","",3,0.5,NA,0.5,NA,1,"","","","","","DOWN","","","","DOWN","","","","","","","DOWN","","","DOWN","DOWN","UP","","",1,NA,"","DOWN","","","DOWN","DOWN","DOWN","","","","","UP","DOWN","","","DOWN","","","","DOWN","DOWN","","DOWN","","","","","UP","","","","",""
"hsa-miR-24-3p","3p","hsa-miR-24-3p","MIR24-1","hsa-mir-24-1","miR-24","Hsa-Mir-24-P2","","3p","BCL2L11, CDKN1B","",3,0.5,1,0.5,NA,1,"DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","DOWN","UP","UP","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP","UP","UP/DOWN",NA,NA,"","","","","","","DOWN","","","","","UP","DOWN","","","UP","","","","DOWN","DOWN","DOWN","DOWN","","","","UP","","UP/DOWN","","","",""
"hsa-miR-24-3p","3p","hsa-miR-24-3p","MIR24-2","hsa-mir-24-2","miR-24","Hsa-Mir-24-P3","","3p","BCL2L11, CDKN1B","",3,0.5,1,0.5,NA,1,"DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","DOWN","UP","UP","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP","UP","UP/DOWN",NA,NA,"","","","","","","DOWN","","","","","UP","DOWN","","","UP","","","UP","DOWN","","","","","","","UP","DOWN","UP","","","",""
"hsa-miR-25-3p","3p","hsa-miR-25-3p","MIR25","hsa-mir-25","miR-25","Hsa-Mir-92-P2d","O","3p","BCL2L11, BTG2","",4,0.5,1,0.5,NA,1,"UP/DOWN","DOWN","DOWN","DOWN","UP","UP","DOWN","UP","DOWN","DOWN","","DOWN","","DOWN","DOWN","DOWN","UP","DOWN","UP/DOWN","UP","DOWN","DOWN","DOWN","DOWN",1,NA,"","","","UP","","","","","","","","","UP","UP","","","","UP","UP","","UP","UP","UP","","","UP","UP","DOWN","UP","","","",""
