"source_genesymbol","target_genesymbol","interact"
"AKT1","CDKN1B",0
"KRAS","RAF1",1
"RAF1","KRAS",0
"TGFA","ERBB2",1
"ERBB2","TGFA",0
"VDR","CASP3",1
"RAD18","RAD51C",1
"PRKCG","RAF1",1
"SIRT6","RBBP8",1
"USP1","PCNA",0
"RHOA","PLD1",1
"PLD1","RHOA",1
"MAPK7","MYC",1
"FLT3","GRB2",1
"PLA2G6","PTGS1",1
"PLA2G6","PTGS2",1
"SFRP2","WNT4",-1
"SFRP1","WNT4",0
"SFRP2","WNT1",-1
"MAB21L1","FOXE3",1
"PAX6","CDH2",1
"PAX6","SHROOM3",1
"SFRP1","WNT2",-1
"SFRP1","WNT1",0
"PKNOX1","PAX6",1
"PAX6","SFRP2",1
"PAX6","SFRP1",1
"PAX6","FN1",1
"PAX6","MAB21L1",1
"CTTN","WASL",1
"CASP3","BIRC2",-1
"BIRC2","CASP3",-1
"CASP2","BID",1
"CASP3","CASP2",1
"MCL1","BBC3",-1
"BBC3","MCL1",-1
"MCL1","BBC3",-1
"BBC3","MCL1",-1
"MCL1","BAK1",-1
"CASP9","BIRC6",-1
"BIRC6","CASP9",-1
"PMAIP1","GMCL1",-1
"BCL2L11","MCL1",-1
"MCL1","BCL2L11",-1
"CDH1","ARPC1B",1
"MTOR","ULK1",-1
"MTOR","RHEB",0
"RHEB","MTOR",1
"TSC2","RHEB",0
"TSC2","TSC1",0
"TSC1","TSC2",1
"ATG7","MAP1LC3B",1
"RHOA","DIAPH1",1
"WASL","ARPC1B",1
"WASL","CDC42",1
"CDC42","WASL",1
"GRB2","WASL",1
"MET","CTTN",1
"AKT1","TSC2",-1
"PMAIP1","MCL1",-1
"RET","SHC1",1
"NTRK1","SHC1",1
"RHOA","ROCK2",1
"RET","GRB2",1
"ATG7","ATG10",1
"ATG12","ATG7",1
"ATG7","ATG12",1
"ATG12","ATG5",1
"MAP1LC3B","ATG3",1
"ATG3","MAP1LC3B",1
"CAMKK2","PRKAG1",1
"NKX3-1","HDAC1",-1
"AR","NKX3-1",1
"NKX3-1","AR",-1
"FOXO1","CDKN1A",0
"FOXO1","NOXA1",1
"RAF1","STK3",-1
"STK3","RAF1",0
"E2F6","RBBP8",-1
"CASP3","NUMA1",0
"BCL2L2","BIK",-1
"DYNLL1","BCL2L11",-1
"CFLAR","CASP10",-1
"CASP7","VIM",0
"CASP7","TNFRSF1A",0
"CASP7","ITGB4",0
"CASP3","VIM",0
"CASP3","CASP8",1
"CASP8","CASP3",1
"CASP3","CASP10",1
"CASP10","CASP3",1
"CASP3","PXN",-1
"PPP1CA","BAD",1
"CASP3","PTK2",-1
"BCL2L11","BCL2A1",-1
"BCL2L1","APAF1",0
"BCL2L11","VDAC1",1
"BCL2L1","VDAC1",-1
"BAK1","VDAC1",1
"BAX","VDAC1",1
"TP53","DAPK1",1
"DAPK1","TP53",1
"DAPK3","RPL13A",0
"CDKN2A","BCL2L1",-1
"CDKN2A","BCL2L1",-1
"SMAD2","DAPK1",1
"UNC5B","PPP2R3B",1
"RHEB","MLST8",1
"ATG101","ATG13",1
"PMAIP1","BAX",1
"PRKCI","BAD",-1
"MAPK8","BCL2",0
"DAPK1","PRKD1",1
"DAPK1","MIB1",0
"MIB1","DAPK1",-1
"DAPK1","BECN1",0
"DAPK1","STX1A",-1
"DAPK1","RPS6",-1
"MIR22HG","MAX",-1
"BBC3","BCL2A1",-1
"BBC3","BCL2A1",-1
"BBC3","BAX",1
"BBC3","BAX",1
"HRK","BCL2L1",-1
"HRK","BCL2",-1
"RHEB","FKBP8",-1
"FKBP8","MTOR",-1
"PMAIP1","BCL2A1",-1
"PRKCZ","FADD",0
"PIDD1","CASP2",1
"PIDD1","IKBKG",1
"PIDD1","FADD",0
"PIDD1","MADD",0
"MIR17HG","JAK1",-1
"RPS6KA3","RPTOR",1
"FAS","CASP8AP2",1
